,Value,Date
636,-1.8915,2018-11-28
637,-1.1742,2018-11-29
638,-0.6724,2018-11-30
639,-0.5093,2018-12-01
640,-0.0057,2018-12-02
641,-0.1319,2018-12-03
642,-0.0206,2018-12-04
643,-0.0504,2018-12-05
644,-0.3376,2018-12-06
645,-0.7833,2018-12-07
646,-0.0325,2018-12-08
647,0.1975,2018-12-09
648,0.0997,2018-12-10
649,0.0426,2018-12-11
650,-0.1772,2018-12-12
651,-2.5269,2018-12-13
652,-4.0434,2018-12-14
653,-1.3092,2018-12-15
654,-0.0681,2018-12-16
655,-0.5488,2018-12-17
656,-0.023,2018-12-18
657,-0.2235,2018-12-19
658,-0.1782,2018-12-20
659,-0.286,2018-12-21
660,-1.8482,2018-12-22
661,0.1674,2018-12-23
662,0.2338,2018-12-24
663,-0.1459,2018-12-25
664,-0.9565,2018-12-26
665,-1.1554,2018-12-27
666,-1.3956,2018-12-28
667,-1.0004,2018-12-29
668,-0.0013,2018-12-30
669,-0.0061,2018-12-31
670,-0.2119,2019-01-01
671,-0.3054,2019-01-02
672,-0.5433,2019-01-03
673,-0.3202,2019-01-04
674,-0.2747,2019-01-05
675,0.1303,2019-01-06
676,0.047,2019-01-07
677,-0.1426,2019-01-08
678,-0.8684,2019-01-09
679,-0.3055,2019-01-10
680,-0.4284,2019-01-11
681,-0.2894,2019-01-12
682,-0.2864,2019-01-13
683,-0.2371,2019-01-14
684,-0.0444,2019-01-15
685,-0.5239,2019-01-16
686,-0.4352,2019-01-17
687,-0.3011,2019-01-18
688,-0.8337,2019-01-19
689,0.2698,2019-01-20
690,-0.022,2019-01-21
691,0.1076,2019-01-22
692,-0.2278,2019-01-23
693,-0.1248,2019-01-24
694,-0.0339,2019-01-25
695,0.056,2019-01-26
696,0.0823,2019-01-27
697,-0.4625,2019-01-28
698,-0.4233,2019-01-29
699,-0.4309,2019-01-30
700,-0.0048,2019-01-31
701,-0.2563,2019-02-01
702,-0.1039,2019-02-02
703,0.053,2019-02-03
704,-0.9598,2019-02-04
705,-1.9802,2019-02-05
706,-0.8131,2019-02-06
707,-1.0003,2019-02-07
708,-0.5956,2019-02-08
709,0.0483,2019-02-09
710,-0.2186,2019-02-10
711,-0.2344,2019-02-11
712,-0.007,2019-02-12
713,-0.5319,2019-02-13
714,-0.4653,2019-02-14
715,-0.5546,2019-02-15
716,0.1658,2019-02-16
717,-0.1969,2019-02-17
718,0.2154,2019-02-18
719,-0.0726,2019-02-19
720,-0.0928,2019-02-20
721,-0.0484,2019-02-21
722,0.0117,2019-02-22
723,0.1997,2019-02-23
724,-0.2081,2019-02-24
725,-0.2826,2019-02-25
726,0.0891,2019-02-26
727,-0.0971,2019-02-27
728,-1.0055,2019-02-28
729,-0.2386,2019-03-01
730,-0.2945,2019-03-02
731,0.8098,2019-03-03
732,-0.1371,2019-03-04
733,-0.0489,2019-03-05
734,-0.1301,2019-03-06
735,0.0694,2019-03-07
736,-0.706,2019-03-08
737,-0.4575,2019-03-09
738,-0.0339,2019-03-10
739,-0.3592,2019-03-11
740,-0.3341,2019-03-12
741,-0.6811,2019-03-13
742,-0.2178,2019-03-14
743,-1.4878,2019-03-15
744,-0.975,2019-03-16
745,-0.9092,2019-03-17
746,0.0526,2019-03-18
747,-0.1926,2019-03-19
748,-0.0216,2019-03-20
749,0.3379,2019-03-21
750,0.3456,2019-03-22
751,0.2755,2019-03-23
752,0.3854,2019-03-24
753,0.2156,2019-03-25
754,0.0808,2019-03-26
755,0.1989,2019-03-27
756,0.1043,2019-03-28
757,-0.5462,2019-03-29
758,0.0995,2019-03-30
759,0.1361,2019-03-31
760,0.1986,2019-04-01
761,-0.056,2019-04-02
762,-0.2177,2019-04-03
763,-0.4652,2019-04-04
764,0.2157,2019-04-05
765,-0.0746,2019-04-06
766,0.2398,2019-04-07
767,0.2903,2019-04-08
768,-0.3639,2019-04-09
769,-0.3592,2019-04-10
770,0.3415,2019-04-11
771,0.1414,2019-04-12
772,0.2133,2019-04-13
773,0.3581,2019-04-14
774,0.2456,2019-04-15
775,-0.1262,2019-04-16
776,0.0256,2019-04-17
777,0.2329,2019-04-18
778,-0.3298,2019-04-19
779,-0.0342,2019-04-20
780,0.0185,2019-04-21
781,-0.3025,2019-04-22
782,-0.2349,2019-04-23
783,-0.1456,2019-04-24
784,0.0883,2019-04-25
785,-0.675,2019-04-26
786,0.018,2019-04-27
787,-0.0708,2019-04-28
788,0.1289,2019-04-29
789,-0.0233,2019-04-30
790,-0.6855,2019-05-01
791,-0.2561,2019-05-02
792,-2.0903,2019-05-03
793,-1.0415,2019-05-04
794,0.0929,2019-05-05
795,-0.0587,2019-05-06
796,-0.1456,2019-05-07
797,-2.1071,2019-05-08
798,-1.1544,2019-05-09
799,-0.5353,2019-05-10
800,-0.5623,2019-05-11
801,-0.0594,2019-05-12
802,-1.1152,2019-05-13
803,-1.4327,2019-05-14
804,-0.0545,2019-05-15
805,-2.2238,2019-05-16
806,-1.3222,2019-05-17
807,-0.0468,2019-05-18
808,-0.2544,2019-05-19
809,0.177,2019-05-20
810,-0.0554,2019-05-21
811,-0.6178,2019-05-22
812,-0.0222,2019-05-23
813,0.1151,2019-05-24
814,-0.1045,2019-05-25
815,0.0736,2019-05-26
816,0.0393,2019-05-27
817,0.3089,2019-05-28
818,-0.4266,2019-05-29
819,0.1205,2019-05-30
820,-0.3172,2019-05-31
821,0.0747,2019-06-01
822,-0.1853,2019-06-02
823,0.1485,2019-06-03
824,-0.6267,2019-06-04
825,-1.2763,2019-06-05
826,-0.25,2019-06-06
827,-0.1236,2019-06-07
828,-0.4616,2019-06-08
829,0.1319,2019-06-09
830,-1.5047,2019-06-10
831,0.1853,2019-06-11
832,0.6003,2019-06-12
833,-0.1944,2019-06-13
834,-1.0706,2019-06-14
835,-0.0453,2019-06-15
836,0.3824,2019-06-16
837,-0.5718,2019-06-17
838,-0.0835,2019-06-18
839,-0.5732,2019-06-19
840,-1.4712,2019-06-20
841,-0.756,2019-06-21
842,-0.3025,2019-06-22
843,-0.9009,2019-06-23
844,-0.8519,2019-06-24
845,-0.7148,2019-06-25
846,-1.1829,2019-06-26
847,-0.9371,2019-06-27
848,-0.6246,2019-06-28
849,-0.3228,2019-06-29
850,-0.1451,2019-06-30
851,0.0351,2019-07-01
852,-0.3344,2019-07-02
853,-0.5406,2019-07-03
854,-0.1885,2019-07-04
855,-0.4282,2019-07-05
856,-0.4005,2019-07-06
857,-0.2946,2019-07-07
858,-0.2766,2019-07-08
859,-0.0952,2019-07-09
860,-0.5203,2019-07-10
861,-0.469,2019-07-11
862,-1.6671,2019-07-12
863,-1.1176,2019-07-13
864,-1.9767,2019-07-14
865,-0.9163,2019-07-15
866,-1.3333,2019-07-16
867,-1.296,2019-07-17
868,-1.3161,2019-07-18
869,-0.7894,2019-07-19
870,-0.1406,2019-07-20
871,-0.6194,2019-07-21
872,-1.3342,2019-07-22
873,-1.0154,2019-07-23
874,-0.4859,2019-07-24
875,-0.0695,2019-07-25
876,-0.2993,2019-07-26
877,-0.4994,2019-07-27
878,0.0672,2019-07-28
879,-0.1898,2019-07-29
880,-0.0622,2019-07-30
881,-0.4016,2019-07-31
882,0.3656,2019-08-01
883,-0.022,2019-08-02
884,0.197,2019-08-03
885,0.1179,2019-08-04
886,-0.6694,2019-08-05
887,-1.106,2019-08-06
888,-0.5448,2019-08-07
889,-0.253,2019-08-08
890,-0.2259,2019-08-09
891,-0.0225,2019-08-10
892,0.108,2019-08-11
893,-0.2904,2019-08-12
894,-0.8616,2019-08-13
895,-0.889,2019-08-14
896,-0.1844,2019-08-15
897,0.1181,2019-08-16
898,0.0675,2019-08-17
899,0.1636,2019-08-18
900,0.1478,2019-08-19
901,-0.3871,2019-08-20
902,-0.8655,2019-08-21
903,-0.538,2019-08-22
904,-0.757,2019-08-23
905,-0.0569,2019-08-24
906,0.0993,2019-08-25
907,-0.0679,2019-08-26
908,-0.5814,2019-08-27
909,-0.7781,2019-08-28
910,-0.9043,2019-08-29
911,-0.4926,2019-08-30
912,0.0033,2019-08-31
913,-0.5194,2019-09-01
914,-0.0459,2019-09-02
915,0.1386,2019-09-03
916,0.2118,2019-09-04
917,0.2287,2019-09-05
918,-0.2204,2019-09-06
919,-0.0472,2019-09-07
920,0.298,2019-09-08
921,0.1428,2019-09-09
922,0.181,2019-09-10
923,-0.0042,2019-09-11
924,0.1553,2019-09-12
925,-0.9181,2019-09-13
926,-1.6226,2019-09-14
927,-0.8108,2019-09-15
928,0.0105,2019-09-16
929,-0.2715,2019-09-17
930,0.0648,2019-09-18
931,-0.4132,2019-09-19
932,-0.3773,2019-09-20
933,-0.5008,2019-09-21
934,-0.2886,2019-09-22
935,0.0904,2019-09-23
936,-0.4425,2019-09-24
937,-0.2743,2019-09-25
938,0.1131,2019-09-26
939,-0.0248,2019-09-27
940,0.4061,2019-09-28
941,0.441,2019-09-29
942,0.0748,2019-09-30
943,-0.3309,2019-10-01
944,-0.2352,2019-10-02
945,-0.2517,2019-10-03
946,-0.346,2019-10-04
947,-0.2582,2019-10-05
948,0.2636,2019-10-06
949,-0.0016,2019-10-07
950,0.1007,2019-10-08
